card1,card2,suited,UTG,MP1,MP2,MP3,HJ,CO,D,SB,BB
12,3,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
12,2,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
12,2,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
11,11,False,Raise,Raise,Raise,Raise,Raise,Raise,Raise,Raise,Raise
11,10,True,Fold,Fold,Fold,Fold,Raise,Raise,Raise,Raise,Raise
11,10,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Raise,Raise
11,9,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Raise,Raise
11,9,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call,Check
11,8,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Raise,Raise
11,8,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
11,7,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call,Raise
11,7,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
11,6,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call,Check
11,6,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
11,5,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
11,5,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
11,4,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
11,4,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
11,3,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
11,3,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
11,2,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
11,2,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
10,10,False,Fold,Raise,Raise,Raise,Raise,Raise,Raise,Raise,Raise
10,9,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Raise,Raise
10,9,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call,Check
10,8,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call,Raise
10,8,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
10,7,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call,Raise
10,7,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
10,6,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call,Check
10,6,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
10,5,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
10,5,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
10,4,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
10,4,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
10,3,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
10,3,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
10,2,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
10,2,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
9,9,False,Fold,Fold,Raise,Raise,Raise,Raise,Raise,Raise,Raise
9,8,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call,Raise
9,8,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
9,7,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call,Check
9,7,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
9,6,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
9,6,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
9,5,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
9,5,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
9,4,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
9,4,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
9,3,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
9,3,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
9,2,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
9,2,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
8,8,False,Fold,Fold,Fold,Raise,Raise,Raise,Raise,Raise,Raise
8,7,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call,Check
8,7,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
8,6,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
8,6,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
8,5,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
8,5,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
8,4,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
8,4,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
8,3,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
8,3,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
8,2,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
8,2,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
7,7,False,Fold,Fold,Fold,Fold,Raise,Raise,Raise,Raise,Raise
7,6,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
7,6,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
7,5,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
7,5,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
7,4,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
7,4,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
7,3,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
7,3,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
7,2,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
7,2,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
6,6,False,Fold,Fold,Fold,Fold,Fold,Raise,Raise,Raise,Raise
6,5,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
6,5,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
6,4,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
6,4,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
6,3,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
6,3,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
6,2,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
6,2,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
5,5,False,Fold,Fold,Fold,Fold,Fold,Fold,Raise,Raise,Raise
5,4,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
5,4,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
5,3,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
5,3,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
5,2,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
5,2,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
4,4,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Raise,Raise
4,3,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
4,3,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
4,2,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
4,2,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
3,3,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call,Raise
3,2,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
3,2,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
2,2,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
